text,intent
I don't recognize this charge,account_billing
How can I contact support?,general_inquiry
What's the fastest shipping?,shipping_delivery
Does the camera have a warranty?,product_inquiry
Where do I ship returns?,returns_refunds
I'm getting an error on my smartphone,technical_support
What's the status of my order?,order_status
My smartphone won't charge,technical_support
My speaker won't charge,technical_support
Do you have a mobile app?,general_inquiry
Can I chat with someone?,general_inquiry
Do you have camera in stock?,product_inquiry
Do you have keyboard in stock?,product_inquiry
Why was I charged this amount?,account_billing
What's your phone number?,general_inquiry
I was charged twice,account_billing
How do I create an account?,general_inquiry
Can I get a refund?,returns_refunds
Can you check on my delivery?,order_status
When was my package sent?,order_status
My speaker won't charge,technical_support
Can I get a refund?,returns_refunds
What's the status of my order?,order_status
Does the laptop have a warranty?,product_inquiry
What's the price of the speaker?,product_inquiry
I was charged twice,account_billing
My camera won't connect,technical_support
Why was I charged this amount?,account_billing
Can I get a refund?,returns_refunds
My camera won't charge,technical_support
How can I contact support?,general_inquiry
Is my speaker on the way?,order_status
What are the specs of the smartphone?,product_inquiry
I can't update my camera,technical_support
Has my order been shipped?,order_status
My tablet is running slow,technical_support
I haven't received my order,order_status
How long does shipping take?,shipping_delivery
The screen is black on my smartphone,technical_support
What colors does the headphones come in?,product_inquiry
Do you have mouse in stock?,product_inquiry
How can I contact support?,general_inquiry
Where is your company?,general_inquiry
The speaker makes strange noises,technical_support
What are the shipping costs?,shipping_delivery
How do I return my camera?,returns_refunds
What's the price of the camera?,product_inquiry
How can I contact support?,general_inquiry
Tell me about the mouse features,product_inquiry
I was charged twice,account_billing
Can I pick up in store?,shipping_delivery
Can I track my shipment?,order_status
I need a receipt,account_billing
My keyboard won't turn on,technical_support
Do you have a physical store?,general_inquiry
When will my camera arrive?,order_status
I can't update my mouse,technical_support
Do you have speaker in stock?,product_inquiry
When will my laptop arrive?,order_status
How do I update my credit card?,account_billing
Do you have speaker in stock?,product_inquiry
I was charged twice,account_billing
Can I track my shipment?,order_status
How do I cancel my subscription?,account_billing
I can't update my keyboard,technical_support
Can I pick up in store?,shipping_delivery
What are your business hours?,general_inquiry
My smartphone won't charge,technical_support
I'm getting an error on my smartwatch,technical_support
Can I get a refund?,returns_refunds
Where do I ship returns?,returns_refunds
How do I update my credit card?,account_billing
How long do I have to return?,returns_refunds
How do I return my mouse?,returns_refunds
Can I get your newsletter?,general_inquiry
What payment methods accepted?,general_inquiry
The screen is black on my tablet,technical_support
I want to return this monitor,returns_refunds
I can't update my monitor,technical_support
Do you ship internationally?,shipping_delivery
Where is your company?,general_inquiry
How do I return my tablet?,returns_refunds
I need a receipt,account_billing
Can I exchange my monitor?,returns_refunds
I need a receipt,account_billing
How much does the laptop cost?,product_inquiry
What's the fastest shipping?,shipping_delivery
Can you check on my delivery?,order_status
How much does the monitor cost?,product_inquiry
Can I update my payment method?,account_billing
I need to send back my keyboard,returns_refunds
Is the speaker waterproof?,product_inquiry
I want to return this mouse,returns_refunds
Is my headphones on the way?,order_status
How do I return my tablet?,returns_refunds
My smartwatch won't connect,technical_support
Can I change my payment plan?,account_billing
My mouse won't turn on,technical_support
How long does shipping take?,shipping_delivery
What are the shipping costs?,shipping_delivery
Is my tablet on the way?,order_status
Can I get your newsletter?,general_inquiry
Do you have a physical store?,general_inquiry
Where do I ship returns?,returns_refunds
What are the shipping costs?,shipping_delivery
What's the status of my order?,order_status
Can I chat with someone?,general_inquiry
I can't update my monitor,technical_support
What are the shipping costs?,shipping_delivery
Do you have tablet in stock?,product_inquiry
Do you have a mobile app?,general_inquiry
How can I contact support?,general_inquiry
How long do I have to return?,returns_refunds
Can you check on my delivery?,order_status
Do you have a mobile app?,general_inquiry
Can I exchange my smartphone?,returns_refunds
